model,model_run,experiment_name,shot_per_class,score_threshold,test_iou,test_f1,test_precision,test_recall,positive_iou,positive_f1,negative_fp_rate
U-Net+ResNet34 ImageNet,Unet-resnet34-imagenet_Single-TB,Single-TB,full baseline,,0.4012648661931355,0.5699731707572937,0.6094599962234497,0.5391003688176473,0.2793951827005916,0.3908880491814502,0.4166666666666667
U-Net+ResNet34 ImageNet,Unet-resnet34-imagenet_Shift-TA_TB-to-TC_10pct,Shift-TA_TB-to-TC_10pct,full baseline,,0.3800015998514075,0.5493453113656295,0.5067407488822937,0.5999401337222049,0.3869604890316279,0.5098150879844457,0.3157894736842105
U-Net+ResNet34 ImageNet,Unet-resnet34-imagenet_Shift-TA_TC-to-TB_10pct,Shift-TA_TC-to-TB_10pct,full baseline,,0.3366221785545349,0.5021923979123434,0.4484855930010478,0.6193686326344808,0.3024250350003591,0.4217215920947345,0.5833333333333334
SAM3 zero-shot,SAM3_zero_shot_Single-TB,Single-TB,zero-shot,0.05,0.1486936991472154,0.1603889740334428,0.178177648991388,0.5231341377039054,0.04738739671843948,0.07077806996053455,0.75
SAM3 zero-shot,SAM3_zero_shot_Shift-TA_TC-to-TB_10pct,Shift-TA_TC-to-TB_10pct,zero-shot,0.05,0.1486936991472154,0.1603889740334428,0.178177648991388,0.5231341377039054,0.04738739671843948,0.07077806996053455,0.75
SAM3 zero-shot,SAM3_zero_shot_Shift-TA_TB-to-TC_10pct,Shift-TA_TB-to-TC_10pct,zero-shot,0.05,0.19915997931801,0.2033271284450984,0.3044800802264739,0.5274314643145156,0.02989890504684194,0.038233386553855865,0.631578947368421
SAM3 few-shot,shift_ta_tb_to_tc_10pct_5shot_stable_lowlr_v1,Shift-TA_TB-to-TC_10pct,5,0.3,0.5496158645141209,0.5753439362544113,0.876895765008018,0.6409077364388746,0.15186330792591105,0.20331992504076624,0.05263157894736842
SAM3 few-shot,shift_ta_tb_to_tc_10pct_10shot_stable_lowlr_v1,Shift-TA_TB-to-TC_10pct,10,0.3,0.5510371893968804,0.5767426647886091,0.8812344888201933,0.6359714695722908,0.15470595768875964,0.20611738210382113,0.05263157894736842
SAM3 few-shot,shift_ta_tb_to_tc_10pct_25shot_stable_lowlr_v1,Shift-TA_TB-to-TC_10pct,25,0.3,0.5258049078616472,0.5460281306852616,0.9141131256810288,0.5784450907402894,0.1042413946128895,0.14468831388631856,0.05263157894736842
SAM3 few-shot,shift_ta_tb_to_tc_10pct_50shot_stable_lowlr_v1,Shift-TA_TB-to-TC_10pct,50,0.3,0.5509850889213063,0.5717558112994936,0.9442742623745827,0.5723977317929192,0.10197017784261238,0.14351212259873733,0.0
SAM3 few-shot,shift_ta_tc_to_tb_10pct_5shot_stable_lowlr_v1,Shift-TA_TC-to-TB_10pct,5,0.3,0.4703430901607139,0.5120040350671952,0.5349926675513824,0.8613910468822187,0.14901951347256623,0.23234179893646997,0.20833333333333334
SAM3 few-shot,shift_ta_tc_to_tb_10pct_10shot_stable_lowlr_v1,Shift-TA_TC-to-TB_10pct,10,0.3,0.4750685776313124,0.5182715631022109,0.5401932517544346,0.8617441901805929,0.1584704884021292,0.2448768549832331,0.20833333333333334
SAM3 few-shot,shift_ta_tc_to_tb_10pct_25shot_stable_lowlr_v1,Shift-TA_TC-to-TB_10pct,25,0.3,0.522319417364108,0.5660006158032481,0.629739605155288,0.8371423501703786,0.16963883468764474,0.25700166902513516,0.125
SAM3 few-shot,shift_ta_tc_to_tb_10pct_50shot_stable_lowlr_v1,Shift-TA_TC-to-TB_10pct,50,0.3,0.5368168705510309,0.5859016250173065,0.6684665414321559,0.8260528777049738,0.19863374105262718,0.2968036874355253,0.125
SAM3 few-shot,single_tb_5shot_stable_lowlr_v1,Single-TB,5,0.3,0.4697357922989416,0.5109617674728512,0.534374230809285,0.8614478274693589,0.14780491774901297,0.2302572637477646,0.20833333333333334
SAM3 few-shot,single_tb_10shot_stable_lowlr_v1,Single-TB,10,0.3,0.47538242052130025,0.5190269886947217,0.5612044328437346,0.8621154662858318,0.1590981741835961,0.24638770617123715,0.20833333333333334
SAM3 few-shot,single_tb_25shot_stable_lowlr_v1,Single-TB,25,0.3,0.5483283696291519,0.5935882658118219,0.6985365387962069,0.8163335631669782,0.1799900725373127,0.2705103231814328,0.08333333333333333
SAM3 few-shot,single_tb_50shot_stable_lowlr_v1,Single-TB,50,0.3,0.5407078814968796,0.5900589611706734,0.6950009296656159,0.7997035733075188,0.20641576288547422,0.30511835962455813,0.125
