Experiment,Val_Loss,Val_IoU,Val_F1,Val_Recall,Val_Prec,Test_Loss,Test_IoU,Test_F1,Test_Recall,Test_Prec
Single-TA,5.194170926933858,0.6809963966483501,0.8076438663610771,0.8047833673989595,0.8136197168435624,4.977268011229379,0.7465332508087158,0.8543278660093035,0.8397843667439052,0.8698486839021955
Single-TB,6.1058760805332915,0.41758903543999853,0.5796099495380482,0.6358198447430388,0.5518289639594707,6.888163407643636,0.31019992132981616,0.46616209546724957,0.43843207756678265,0.5153628985087076
Single-TC,6.180845801894729,0.33953543490654714,0.48557014239800944,0.5971717206207482,0.4429144947915464,5.708076527244167,0.2560054455932818,0.4038650299373426,0.7295364392431158,0.2859432477700083
Multi-Domain,5.813304920070219,0.5140438403514836,0.6574854092882169,0.6998263167229709,0.6456953394689308,5.641381288186098,0.5470011325982901,0.6866152317096026,0.7220417169424204,0.6684600206521841
Shift-TA_TB-to-TC_10pct,5.512344038277342,0.5715213501662538,0.7173739520081303,0.7833600211561772,0.681015190848133,6.215200160679064,0.22557286055464493,0.3633700075902437,0.2931326910069114,0.48098263615056086
Shift-TA_TB-to-TC_100pct,5.523472501520525,0.5823192078816263,0.7255572028327406,0.7902160391472933,0.6919915979368645,5.0901212718791,0.7113959900703204,0.8283464073781089,0.8369547841456948,0.822059121612979
Shift-TA_TC-to-TB_10pct,5.674007397431594,0.5546130423362439,0.6885903087946085,0.7471894667698786,0.6649171366141393,6.560832659403483,0.32896042863527936,0.49424434701601666,0.6281295915444692,0.430483341217041
Shift-TA_TC-to-TB_100pct,5.635173815947312,0.5601334824011877,0.6963828802108765,0.7277410603486575,0.6834605588362768,6.446660684326948,0.2567033308037257,0.4017136157569239,0.571764373173148,0.3268915005659653
Shift-TB_TC-to-TA_10pct,6.150744233812604,0.3880671142112641,0.5475209525653294,0.6205730778830392,0.5101567811909176,5.9265874522072926,0.5233237147331238,0.680642180783408,0.6134585312434605,0.7660622034754072
Shift-TB_TC-to-TA_100pct,6.257543847674415,0.36614530639989035,0.5224329999514988,0.6951522486550468,0.4432084283658436,5.941888584404388,0.5208699975593861,0.6762403677762086,0.6969867958866878,0.6705383548750722
