Experiment,Val_Loss,Val_IoU,Val_F1,Val_Recall,Val_Prec,Test_Loss,Test_IoU,Test_F1,Test_Recall,Test_Prec
Unet-resnet34-no_weight_Single-TA,5.27372558081328,0.6177899179173939,0.7555861455291065,0.7897402911043879,0.7401691835318038,4.9096454858779905,0.7104158384459359,0.8305587751524789,0.8623603190694537,0.8023579716682434
Unet-resnet34-no_weight_Single-TB,6.467992539101458,0.2444033166195484,0.39085393636784654,0.5675527986059797,0.32139283196723206,6.769168694814046,0.2913837780555089,0.4455399811267853,0.574949045976003,0.3794606526692708
Unet-resnet34-no_weight_Single-TC,6.074542374224277,0.31836504912054214,0.465932384536073,0.6040763097840387,0.4129676943695223,5.343524625426845,0.38474725422106293,0.5527550107554385,0.7498832690088373,0.4406505132976331
Unet-resnet34-no_weight_Multi-Domain,5.9500589339148915,0.44940996150307305,0.6002709190577071,0.6414984681748397,0.5922145798111593,5.735985719240629,0.5207297939520615,0.6591962125056829,0.7051265766987433,0.632484108973772
Unet-resnet34-no_weight_Shift-TA_TB-to-TC_10pct,5.608551027482016,0.516593420191815,0.665398214992724,0.7540869754657411,0.6172509386874082,5.684299895637913,0.3218128210619876,0.4831988497784263,0.5910876675655967,0.41151908981172663
Unet-resnet34-no_weight_Shift-TA_TB-to-TC_100pct,5.616649276331851,0.5517670391944417,0.6997891037087691,0.7592699140833136,0.6724259659909365,6.729866844898946,0.24128793736430887,0.3791183400799236,0.3302930403499476,0.4831848518473232
Unet-resnet34-no_weight_Shift-TA_TC-to-TB_10pct,5.740533021780161,0.4995141407618156,0.6454610045139606,0.6995651194682488,0.6328395421688373,7.186389128367106,0.13071084767580032,0.22947623829046884,0.4282393753528595,0.15928586820761362
Unet-resnet34-no_weight_Shift-TA_TC-to-TB_100pct,5.755464920630822,0.481823871915157,0.6291062763104072,0.6934945995991046,0.6066846159788278,7.136529473935143,0.08852330898329364,0.16006487532187316,0.37295341794773684,0.10853338001643197
Unet-resnet34-no_weight_Shift-TB_TC-to-TA_10pct,6.224276940027873,0.29310062811488197,0.4478681130068643,0.5912285248438517,0.3903761896349135,6.110513690539769,0.35037561314446586,0.5022046548979623,0.5085954189300537,0.5261567303112575
Unet-resnet34-no_weight_Shift-TB_TC-to-TA_100pct,6.178963014057705,0.30309240945747923,0.460337594861076,0.6010531612804958,0.40111153395403,6.05520164011494,0.3836975564588779,0.5408227164243025,0.5677585000454142,0.5461010236060938
