Experiment,Val_Loss,Val_IoU,Val_F1,Val_Recall,Val_Prec,Test_Loss,Test_IoU,Test_F1,Test_Recall,Test_Prec
Unet-resnet34-imagenet_Single-TA,5.179065789749373,0.6911902605597653,0.8148024553683266,0.8217802003248414,0.810876162194494,4.904386602129255,0.7549744861466544,0.8598483869007656,0.8671289137431554,0.8535721591540746
Unet-resnet34-imagenet_Single-TB,5.864208119980832,0.44110571640603086,0.5928666845281073,0.7109603907199616,0.5467134790217623,6.5103936195373535,0.35657228032747906,0.502834419409434,0.559124231338501,0.4689692407846451
Unet-resnet34-imagenet_Single-TC,5.982332564689018,0.3635348065479382,0.5150408865632238,0.6098641076603452,0.477462453616632,5.316556917993646,0.4352949387148807,0.6052221624474776,0.7279003074294642,0.5234613826400355
Unet-resnet34-imagenet_Multi-Domain,5.7673095172604185,0.528719941610532,0.6741852945839333,0.6961752326283234,0.6737165306972352,5.686240917597061,0.547156946017192,0.6822318419432029,0.6928949264379648,0.6779702687874819
Unet-resnet34-imagenet_Shift-TA_TB-to-TC_10pct,5.4041166389197635,0.5873810797929764,0.7227512707835749,0.8106161146833185,0.6883436227053926,5.620384580210636,0.34506390282982274,0.5129401715178239,0.5804921545480427,0.46284378672900955
Unet-resnet34-imagenet_Shift-TA_TB-to-TC_100pct,5.4187760896850055,0.5946904687505019,0.735837739810609,0.7886010502514086,0.710837579610055,6.60661307863287,0.2749378120577013,0.4210155847910288,0.3756440623386486,0.5433344454378695
Unet-resnet34-imagenet_Shift-TA_TC-to-TB_10pct,5.523884681554941,0.5720383639519031,0.7048337963911203,0.7489488399945773,0.6879634054807516,6.57608429590861,0.295579935113589,0.4550533592700958,0.6174868245919546,0.38361527522404987
Unet-resnet34-imagenet_Shift-TA_TC-to-TB_100pct,5.625557147539579,0.5502170920372009,0.6895602758114154,0.7069527323429401,0.6868941142008855,6.464936878721593,0.26973618415452666,0.41586960321765837,0.5295436248435812,0.35833210106623375
Unet-resnet34-imagenet_Shift-TB_TC-to-TA_10pct,5.920465821311588,0.39609476640110924,0.5488427182038625,0.6500526524725414,0.5174954221362159,5.524434430258615,0.5193496465682983,0.6775935769081116,0.6847550664629255,0.6820836884634836
Unet-resnet34-imagenet_Shift-TB_TC-to-TA_100pct,5.880795172282627,0.4142025262117386,0.5754950003964561,0.7107458256539845,0.4963541485014416,5.685409688631222,0.575212983950663,0.7225831515357473,0.7070422193770592,0.7558797613803286
