Experiment,Val_Loss,Val_IoU,Val_F1,Val_Recall,Val_Prec,Test_Loss,Test_IoU,Test_F1,Test_Recall,Test_Prec
Unet-resnet34-sobelxy_Single-TA,5.156169603120035,0.6532335325853148,0.7868183246299402,0.8242039093330725,0.7577297127068933,4.858604328972953,0.7445160423006331,0.8530213304928371,0.8650181668145316,0.8415323036057608
Unet-resnet34-sobelxy_Single-TB,6.000414016398977,0.3571956563503184,0.5192294418811798,0.676333708966032,0.45045221359171767,6.53263505299886,0.2824184199174245,0.4382770260175069,0.44534897804260254,0.4700944721698761
Unet-resnet34-sobelxy_Single-TC,6.281299204439731,0.32598265320868103,0.4790478896450352,0.580394843140164,0.44059051533003113,5.521535459317659,0.3397231462754701,0.5009975872541729,0.740373432636261,0.39003030563655655
Unet-resnet34-sobelxy_Multi-Domain,5.813163027858103,0.48696386399648045,0.6362915260112838,0.6840990915993191,0.6157389510151566,5.574672845693735,0.5339284707338382,0.6744691974077469,0.7117554178604713,0.6498200312638894
Unet-resnet34-sobelxy_Shift-TA_TB-to-TC_10pct,5.56500278230299,0.5687624195165801,0.7135309948210131,0.75311195222955,0.6948103068167704,6.370723812203658,0.25589867642051295,0.406281264204728,0.34310301824619893,0.5083129123637551
Unet-resnet34-sobelxy_Shift-TA_TB-to-TC_100pct,5.5325136602970595,0.555421139064588,0.7010847209838399,0.782899702850141,0.6513487869187405,6.832795119285583,0.2250866678920952,0.3600437409168965,0.31699040161596764,0.4572316335665213
Unet-resnet34-sobelxy_Shift-TA_TC-to-TB_10pct,5.739830457247221,0.5165568578701752,0.6584654404566839,0.7139675525518564,0.6403588102414057,7.118351936340332,0.10432249059279759,0.1885022670030594,0.37147022287050885,0.13008161882559457
Unet-resnet34-sobelxy_Shift-TA_TC-to-TB_100pct,5.749820635868953,0.5255835950374603,0.6665853330722222,0.6934560674887437,0.6664424997109634,7.022518060975155,0.11155159278946408,0.1974156472389981,0.39171287947792116,0.1429753658377518
Unet-resnet34-sobelxy_Shift-TB_TC-to-TA_10pct,6.102137043362572,0.32838079262347447,0.48921010465849013,0.6002815933454604,0.4404922205777395,5.8313025338309155,0.41687278406960626,0.5741620591708592,0.5655056238174438,0.6259536709104265
Unet-resnet34-sobelxy_Shift-TB_TC-to-TA_100pct,6.129682347888038,0.3229039652006967,0.48265530665715534,0.5728084700448173,0.4530486507075174,6.003459228429313,0.42737423807647884,0.5881449792434624,0.537824457760027,0.675102031726158
