Experiment,Val_Loss,Val_IoU,Val_F1,Val_Recall,Val_Prec,Test_Loss,Test_IoU,Test_F1,Test_Recall,Test_Prec
Unet-resnet34-no_weight_sobelxy_Single-TA,5.148878684684412,0.6701356964324837,0.7983367425292286,0.8287068294055426,0.7739298770676798,4.895004442759922,0.7247799805232457,0.8400773899895805,0.8660823600632804,0.8157318711280823
Unet-resnet34-no_weight_sobelxy_Single-TB,6.293644631162603,0.2876481077772506,0.4419312122020316,0.5786522550785795,0.37668056437309755,6.802952766418457,0.23309072107076645,0.36552778879801434,0.39363733927408856,0.36777280271053314
Unet-resnet34-no_weight_sobelxy_Single-TC,6.3881487073125065,0.26792392054119624,0.414338287469503,0.4167245803652583,0.46403479415017207,5.8604308429517245,0.32948849546281916,0.4924204192663494,0.5582944060626783,0.44408613129665975
Unet-resnet34-no_weight_sobelxy_Multi-Domain,5.765904682361527,0.48222460227691577,0.630351915659494,0.7028066811972107,0.5980125186064386,5.588764887589675,0.5260976468905424,0.6631485590567956,0.7277297943066328,0.6272352735201517
Unet-resnet34-no_weight_sobelxy_Shift-TA_TB-to-TC_10pct,5.590878532643904,0.5487468446555891,0.697588736028002,0.7604058144385355,0.658940289104194,6.09022657494796,0.25293353670521784,0.40011305871762726,0.35116542326776606,0.4694980822111431
Unet-resnet34-no_weight_sobelxy_Shift-TA_TB-to-TC_100pct,5.473387400309245,0.5689039724437814,0.7139261364936829,0.7924492411446153,0.6679889836855102,6.7949339950406875,0.2528939785184087,0.3944791236439267,0.3454054449055646,0.49613460753415084
Unet-resnet34-no_weight_sobelxy_Shift-TA_TC-to-TB_10pct,5.915550305293157,0.49404826072546154,0.6341284261300013,0.6844292191358713,0.6185462635297042,7.289506435394287,0.09945814559857051,0.18050492803255716,0.3626978000005086,0.12590922911961874
Unet-resnet34-no_weight_sobelxy_Shift-TA_TC-to-TB_100pct,5.989097851973313,0.4444636209652974,0.5884582973443545,0.6491853835491034,0.5692946417973592,7.361117714542454,0.0780744586708182,0.14174406116796753,0.30090188272928786,0.09931624466079776
Unet-resnet34-no_weight_sobelxy_Shift-TB_TC-to-TA_10pct,6.5239171868278865,0.24490024788039072,0.3888242713042668,0.5163743666240147,0.33794550384793964,5.815173472676959,0.46124705587114606,0.6240977934428624,0.5870395745549883,0.6796513080596924
Unet-resnet34-no_weight_sobelxy_Shift-TB_TC-to-TA_100pct,6.381649539584205,0.27042375079223085,0.4209541905493963,0.5170894094875881,0.38841251674152555,6.1468946088315475,0.40973961618604576,0.5735336211385642,0.5593283432881273,0.6150471398313958
